0.0271875 156801 7.18719 7.09745
0.0415625 112097 6.85157 6.77473
0.0559375 70896.7 6.39344 6.35447
0.0703125 41085.8 5.84787 5.8812
0.0846875 23183.5 5.27565 5.34837
0.0990625 13528.2 4.73699 4.83649
0.113438 8286.87 4.24688 4.33353
0.127812 5300.93 3.8001 3.89271
0.142187 3680.94 3.43538 3.48628
0.156562 2864.58 3.18463 3.14053
0.170937 2343.14 2.9837 2.83492
0.185312 1865.46 2.75572 2.52801
0.199687 1461.59 2.51174 2.26554
0.214062 1204.92 2.31863 2.10872
0.228437 1076.55 2.20597 1.93564
0.242812 1042.12 2.17346 1.76266
1
