0.0271875 175714 7.16511 7.09745
0.0415625 124768 6.82271 6.77473
0.0559375 78875.7 6.36413 6.35447
0.0703125 46544.4 5.83666 5.8812
0.0846875 27351 5.30501 5.34837
0.0990625 16491.6 4.7991 4.83649
0.113438 9853.29 4.28406 4.33353
0.127812 5753.18 3.746 3.89271
0.142187 3709.66 3.30719 3.48628
0.156562 2998.86 3.09449 3.14053
0.170937 2639.11 2.9667 2.83492
0.185312 2125.52 2.75027 2.52801
0.199687 1598.89 2.46556 2.26554
0.214062 1320.67 2.27439 2.10872
0.228437 1273.92 2.23835 1.93564
0.242812 1289.27 2.25033 1.76266
1
