0.0271875 157987 7.1757 7.09745
0.0415625 113379 6.84392 6.77473
0.0559375 71819.2 6.38734 6.35447
0.0703125 41546 5.83999 5.8812
0.0846875 23571.1 5.27321 5.34837
0.0990625 14287.3 4.77256 4.83649
0.113438 9409.62 4.35492 4.33353
0.127812 6343 3.96054 3.89271
0.142187 4252.5 3.56069 3.48628
0.156562 2989.68 3.20835 3.14053
0.170937 2306.96 2.94912 2.83492
0.185312 1842.42 2.72427 2.52801
0.199687 1420.82 2.46442 2.26554
0.214062 1118.29 2.22499 2.10872
0.228437 1048.08 2.16015 1.93564
0.242812 1180.03 2.27873 1.76266
1
