0.0271875 151419 7.14706 7.09745
0.0415625 112840 6.85298 6.77473
0.0559375 74425.4 6.4368 6.35447
0.0703125 43793.5 5.90649 5.8812
0.0846875 23645.7 5.29019 5.34837
0.0990625 12581 4.65919 4.83649
0.113438 7377.02 4.12538 4.33353
0.127812 5053.25 3.74704 3.89271
0.142187 3810.24 3.4647 3.48628
0.156562 2932.57 3.20289 3.14053
0.170937 2263.27 2.94382 2.83492
0.185312 1783.68 2.70569 2.52801
0.199687 1463.65 2.50794 2.26554
0.214062 1268.88 2.36514 2.10872
0.228437 1180.85 2.29324 1.93564
0.242812 1186.84 2.2983 1.76266
1
